player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Dexter Pittman,ATL,26.0,210.82,129.27372,2,0.0,1.5,0.0,2.8,0.6,0.0,0.273,0.0,0.0,2013-14
Serge Ibaka,OKC,25.0,208.28,111.13004,64,14.3,7.8,0.9,3.6,0.072,0.176,0.192,0.5489999999999999,0.0409999999999999,2014-15
Raymond Felton,NYK,30.0,185.42,92.98636,65,9.7,3.0,5.6,-0.3,0.031,0.085,0.182,0.476,0.275,2013-14
Roy Hibbert,IND,26.0,218.44,127.00576,79,11.9,8.3,1.4,9.2,0.149,0.1689999999999999,0.225,0.489,0.083,2012-13
Sebastian Telfair,MIN,26.0,182.88,79.3786,37,7.2,1.5,3.0,-7.2,0.025,0.06,0.1939999999999999,0.497,0.246,2010-11
Jannero Pargo,CHA,33.0,185.42,83.91452,32,6.5,1.1,2.1,-8.6,0.025,0.066,0.24,0.475,0.233,2012-13
Pooh Jeter,SAC,27.0,180.34,79.3786,62,4.1,1.1,2.6,-5.9,0.011,0.08,0.16,0.46,0.281,2010-11
DJ White,BOS,26.0,205.74,113.398,12,2.4,1.1,0.3,13.9,0.061,0.111,0.165,0.5379999999999999,0.07,2012-13
AJ Price,MIN,27.0,187.96,88.45044,28,1.6,0.4,0.5,-2.4,0.009,0.081,0.23,0.469,0.271,2013-14
Michael Beasley,PHX,24.0,208.28,106.59412,75,10.1,3.8,1.5,-11.5,0.038,0.17,0.276,0.462,0.125,2012-13
Serge Ibaka,OKC,22.0,208.28,106.59412,66,9.1,7.5,0.4,6.9,0.131,0.176,0.155,0.556,0.024,2011-12
Kyle Lowry,HOU,26.0,182.88,92.98636,47,14.3,4.5,6.6,1.8,0.0279999999999999,0.1369999999999999,0.218,0.5579999999999999,0.324,2011-12
Tyson Chandler,DAL,28.0,215.9,106.59412,74,10.1,9.4,0.4,8.2,0.123,0.254,0.142,0.6970000000000001,0.024,2010-11
JR Smith,NYK,26.0,198.12,99.79024,35,12.5,3.9,2.4,5.7,0.034,0.131,0.225,0.508,0.155,2011-12
Jon Leuer,MEM,24.0,208.28,103.418976,28,2.0,1.3,0.3,-18.0,0.074,0.1669999999999999,0.159,0.485,0.074,2012-13
Tiago Splitter,SAS,26.0,210.82,108.86208,60,4.6,3.4,0.4,0.2,0.1159999999999999,0.2019999999999999,0.18,0.55,0.06,2010-11
Lavoy Allen,IND,25.0,205.74,115.66596,65,4.7,4.8,1.1,-9.3,0.113,0.205,0.143,0.47,0.105,2013-14
Jae Crowder,DAL,23.0,198.12,106.59412,78,4.6,2.5,0.8,12.1,0.044,0.135,0.134,0.551,0.067,2013-14
Matt Carroll,CHA,31.0,198.12,96.161504,53,2.7,1.1,0.7,-13.9,0.015,0.1,0.154,0.409,0.108,2011-12
Noah Vonleh,CHA,19.0,208.28,108.86208,25,3.3,3.4,0.2,-13.2,0.105,0.26,0.17,0.475,0.0289999999999999,2014-15
Chris Kaman,POR,33.0,213.36,120.20188,74,8.6,6.5,0.9,0.6,0.1169999999999999,0.265,0.228,0.537,0.079,2014-15
Hedo Turkoglu,ORL,32.0,208.28,99.79024,81,10.8,4.4,4.2,6.4,0.021,0.14,0.168,0.555,0.207,2010-11
Chris Quinn,SAS,27.0,187.96,79.3786,41,2.0,0.6,1.0,-1.8,0.012,0.087,0.173,0.428,0.236,2010-11
Samardo Samuels,CLE,23.0,205.74,117.93392,54,5.4,3.3,0.4,-5.9,0.087,0.163,0.1889999999999999,0.517,0.046,2011-12
Spencer Hawes,PHI,24.0,215.9,111.13004,37,9.6,7.3,2.6,3.7,0.094,0.2339999999999999,0.1989999999999999,0.517,0.1689999999999999,2011-12
Al Jefferson,UTA,28.0,208.28,131.088088,78,17.8,9.2,2.1,-3.5,0.07,0.265,0.26,0.522,0.119,2012-13
Sebastian Telfair,OKC,30.0,182.88,77.11064,16,8.4,1.9,2.8,-12.3,0.0069999999999999,0.096,0.2239999999999999,0.479,0.29,2014-15
Ray Allen,MIA,38.0,195.58,92.98636,73,9.6,2.8,2.0,4.6,0.015,0.118,0.168,0.59,0.1169999999999999,2013-14
Tiago Splitter,SAS,30.0,210.82,111.13004,52,8.2,4.8,1.5,12.4,0.1009999999999999,0.172,0.183,0.601,0.11,2014-15
Blake Griffin,LAC,24.0,208.28,113.851592,80,18.0,8.3,3.7,6.6,0.088,0.225,0.254,0.5720000000000001,0.192,2012-13
Roy Hibbert,IND,27.0,218.44,131.54168,81,10.8,6.6,1.1,7.5,0.1009999999999999,0.146,0.195,0.499,0.06,2013-14
Hilton Armstrong,GSW,29.0,210.82,106.59412,15,1.7,3.1,0.3,10.5,0.181,0.304,0.14,0.48,0.074,2013-14
Taj Gibson,CHI,27.0,205.74,102.0582,63,7.7,5.3,0.7,15.1,0.1159999999999999,0.162,0.186,0.522,0.065,2011-12
DeJuan Blair,SAS,24.0,200.66,122.46984,61,5.4,3.8,0.7,-1.4,0.091,0.213,0.187,0.5429999999999999,0.084,2012-13
Gani Lawal,PHX,22.0,205.74,106.140528,1,0.0,0.0,0.0,-78.3,0.0,0.0,0.0,0.0,0.0,2010-11
Brian Skinner,MEM,36.0,205.74,115.66596,1,0.0,0.0,0.0,-88.4,0.0,0.0,0.1,0.0,0.0,2011-12
Nate Robinson,OKC,27.0,175.26,81.64656,59,6.8,1.5,1.9,1.2,0.02,0.089,0.217,0.507,0.183,2010-11
Mo Williams,LAC,29.0,185.42,88.45044,52,13.2,1.9,3.1,-1.9,0.019,0.065,0.228,0.53,0.196,2011-12
Wayne Ellington,CLE,25.0,193.04,90.7184,78,7.9,2.1,1.3,-0.3,0.017,0.1,0.168,0.546,0.1,2012-13
Thomas Robinson,PHI,24.0,208.28,107.501304,54,5.7,5.6,0.6,-0.6,0.122,0.284,0.195,0.502,0.07,2014-15
Dwight Howard,ORL,26.0,210.82,120.20188,54,20.6,14.5,1.9,3.6,0.113,0.318,0.261,0.569,0.098,2011-12
Zoran Dragic,MIA,26.0,195.58,90.7184,16,1.8,0.5,0.3,-15.3,0.072,0.045,0.217,0.435,0.1159999999999999,2014-15
